Date,Total (ex. refinancing) ($b),Owner occupier (ex. Refinancing) ($b),Investor (ex. Refinancing) ($b)
Nov-18,17.716,12.454,5.262
Dec-18,17,11.915,5.085
Jan-19,16.718,11.791,4.928
Feb-19,17.026,12.115,4.911
Mar-19,16.488,11.658,4.83
Apr-19,16.687,11.876,4.812
May-19,16.511,11.724,4.788
Jun-19,16.779,11.967,4.812
Jul-19,17.071,12.124,4.947
Aug-19,17.688,12.486,5.202
Sep-19,17.795,12.787,5.008
Oct-19,18.144,13.116,5.028
Nov-19,19.167,13.912,5.255
Dec-19,19.778,14.411,5.367
Jan-20,19.757,14.398,5.359
Feb-20,19.124,13.92,5.203
Mar-20,19.269,14.2,5.069
Apr-20,18.469,13.527,4.942
May-20,16.663,12.438,4.225
Jun-20,17.547,12.998,4.548
Jul-20,19.095,14.388,4.708
Aug-20,20.869,15.93,4.939
Sep-20,22.375,17.123,5.251
Oct-20,22.363,17.231,5.132
Nov-20,23.606,18.203,5.403
Dec-20,25.935,19.991,5.945
Jan-21,28.477,21.937,6.541
Feb-21,28.659,21.759,6.9
Mar-21,29.951,22.061,7.89
Apr-21,31.056,23.002,8.054
May-21,32.565,23.437,9.127
Jun-21,32.049,22.86,9.189
Jul-21,32.124,22.771,9.352
Aug-21,30.756,21.264,9.492
Sep-21,30.323,20.636,9.688
Oct-21,29.652,19.764,9.888
Nov-21,31.59,21.253,10.337
Dec-21,33.066,22.36,10.706
Jan-22,33.925,22.416,11.51
Feb-22,32.75,21.37,11.38
Mar-22,33.278,21.571,11.707
